1000329,Alderetes,-26.81667,-65.13333,AR,38466,454
1000330,Albardon,-31.43722,-68.52556,AR,20413,641
1000331,Aguilares,-27.4338,-65.61427,AR,32494,375
1000332,Villa Santa Rita,-34.61082,-58.481,AR,34000,25
1000333,Villa Mercedes,-33.67571,-65.45783,AR,96781,516
1000334,San Carlos de Bariloche,-41.14557,-71.30822,AR,95394,839
1000335,Adrogue,-34.80041,-58.38384,AR,28265,28
1000336,Pago Pago,-14.27806,-170.7025,AS,11500,144
1000337,Wolfsberg,46.84056,14.84417,AT,25610,461
1000338,Wiener Neustadt,47.80485,16.23196,AT,38481,267
1000339,Vienna,48.20849,16.37208,AT,1691468,193
1000340,Wels,48.16667,14.03333,AT,57946,317
1000341,Weinzierl bei Krems,48.4,15.6,AT,24092,207
1000342,Villach,46.61028,13.85583,AT,58882,494
1000343,Traun,48.22656,14.23459,AT,23959,271
1000344,Traiskirchen,48.01485,16.29324,AT,16212,204
1000345,Ternitz,47.71565,16.03575,AT,15153,395
1000346,Steyr,48.04274,14.42127,AT,39566,285
1000347,Spittal an der Drau,46.8,13.5,AT,16363,553
1000348,Schwechat,48.13333,16.46667,AT,15711,163
1000349,Sankt Poelten,48.2,15.63333,AT,49001,275
1000350,Sankt Peter,46.62978,14.34016,AT,20000,433
1000351,Sankt Martin,46.61667,14.28333,AT,20000,443
1000352,Salzburg,47.79941,13.04399,AT,150269,435
1000353,Saalfelden am Steinernen Meer,47.42681,12.848,AT,16119,742
1000354,Modling,48.08605,16.28921,AT,20710,222
1000355,Lustenau,47.42642,9.65851,AT,20218,405
1000356,Linz,48.30639,14.28611,AT,181162,268
1000357,Leonding,48.27965,14.2533,AT,22736,289
1000358,Leoben,47.3765,15.09144,AT,24809,543
1000359,Kufstein,47.58333,12.16667,AT,16115,483
1000360,Krems an der Donau,48.40921,15.61415,AT,23932,195
1000361,Klosterneuburg,48.30521,16.32522,AT,24843,192
1000362,Klagenfurt am Woerthersee,46.62472,14.30528,AT,90610,450
1000363,Kapfenberg,47.44458,15.29331,AT,21819,502
1000364,Innsbruck,47.26266,11.39454,AT,112467,587
1000365,Hallein,47.68333,13.1,AT,18980,447
1000366,Graz,47.06667,15.45,AT,222326,363
1000367,Feldkirch,47.23306,9.6,AT,31082,475
1000368,Dornbirn,47.41427,9.74195,AT,43013,437
1000369,Bregenz,47.50311,9.7471,AT,27611,405
1000370,Braunau am Inn,48.25628,13.04343,AT,16403,350
1000371,Baden,48.00543,16.23264,AT,24893,230
1000372,Amstetten,48.1229,14.87206,AT,22832,277
1000373,Ansfelden,47.965,13.04944,AT,15673,619
1000374,Whyalla,-33.03268,137.56483,AU,19645,20
1000375,Rockingham,-32.27682,115.72978,AU,108022,8
1000376,Prospect,-34.88241,138.5933,AU,20217,43
1000377,Port Hedland,-20.31215,118.61059,AU,15044,5
1000378,Perth,-31.95224,115.8614,AU,1896548,34
1000379,Murray Bridge,-35.11986,139.27345,AU,19577,36
1000380,Mount Isa,-20.72523,139.49727,AU,22785,363
1000381,Morphett Vale,-35.13333,138.51667,AU,22602,92
1000382,Mandurah,-32.5269,115.7217,AU,83294,4
1000383,Kwinana,-32.23013,115.78128,AU,30433,7
1000384,Kalgoorlie,-30.74614,121.4742,AU,31107,387
1000385,Gosnells,-32.081,116.0054,AU,17277,23
1000386,Geraldton,-28.77897,114.61459,AU,26872,15
1000387,Gawler,-34.60251,138.74902,AU,20006,57
1000388,Fremantle,-32.05632,115.74557,AU,24835,2
1000389,Darwin,-12.46113,130.84185,AU,129062,31
